NO_CARTE,CREDIT_CARTE,NOM,PRENOM,ADRESSE_NUM,ADRESSE_TYPE,ADRESSE_RUE,ADRESSE_VILLE,EMAIL,TELEPHONE,DATECOMMANDE,REFERENCE_PRODUIT,LIBELLE,QUANTITE,Marque,PRIX_UNIT,PRIX_KILO,QTE_STOCK,NOM_RAYON,NOM_CATEGORIE
1117144480,3.00,Havoc,Mehdi,258,Rue,Sellier , Laxou,Havoc.Mehdi@univ-lorraine.fr,269833233,2017-02-17,"5,26581221272765E+019",Homards,2,MarqueAPasReperer,6.00,3.00,111,Poissonnerie,Poissons
1117144480,3.00,Havoc,Mehdi,258,Rue,Sellier , Laxou,Havoc.Mehdi@univ-lorraine.fr,269833233,2017-02-17,"8,81559383955729E+019",Volvic,6,MarqueAPasReperer,13.00,8.00,238,Eaux,Boissons
1117144480,3.00,Havoc,Mehdi,258,Rue,Sellier , Laxou,Havoc.Mehdi@univ-lorraine.fr,269833233,2017-02-17,"5,13913212414157E+019",Taureau Rouge,7,Pouce,11.00,1.00,287,Sodas,Boissons
1117144480,3.00,Havoc,Mehdi,258,Rue,Sellier , Laxou,Havoc.Mehdi@univ-lorraine.fr,269833233,2017-02-17,"4,57248166965697E+019",Hepar,5,PastopBudget,6.00,6.00,150,Eaux,Boissons
1117144480,3.00,Havoc,Mehdi,258,Rue,Sellier , Laxou,Havoc.Mehdi@univ-lorraine.fr,269833233,2017-02-17,"7,31716132555591E+019",Dinde,4,MarqueAPasReperer,10.00,12.00,107,Volaille,Viandes
1117144480,3.00,Havoc,Mehdi,258,Rue,Sellier , Laxou,Havoc.Mehdi@univ-lorraine.fr,269833233,2017-02-17,"7,93914352461142E+019",Volvic,9,PastopBudget,3.00,14.00,257,Eaux,Boissons
1117144480,3.00,Havoc,Mehdi,258,Rue,Sellier , Laxou,Havoc.Mehdi@univ-lorraine.fr,269833233,2017-02-17,"2,58813464151876E+019",Palourdes,5,MarqueAPasReperer,6.00,15.00,198,Poissonnerie,Poissons
1117144480,3.00,Havoc,Mehdi,258,Rue,Sellier , Laxou,Havoc.Mehdi@univ-lorraine.fr,269833233,2017-02-17,"5,59443534188242E+019",Veau,5,PastopBudget,2.00,10.00,151,Boucherie,Viandes
1117144480,3.00,Havoc,Mehdi,258,Rue,Sellier , Laxou,Havoc.Mehdi@univ-lorraine.fr,269833233,2017-02-17,"3,65249874543448E+019",Noisettes,7,MarqueAPasReperer,8.00,11.00,289,Fruits,Fruits et Legumes
1117144480,3.00,Havoc,Mehdi,258,Rue,Sellier , Laxou,Havoc.Mehdi@univ-lorraine.fr,269833233,2017-02-17,"2,82622412771485E+019",Lait de soja,6,MarqueAPasReperer,14.00,15.00,206,Lait,Boissons
